Circuit breaker Open/Close Status, Disconnector Open/Close Status, Earth switch Open/Close Status, Protection system healthy (Trip circuit healthy), Control level - Local or remote, Protection tripped, Circuit breaker mechanical failure, Auxiliary power failure, Intertrip command send, Intertrip command receive, Current Line 'L1', Current Line 'L2', Current Line 'L3', Voltage Phase 'L1-N', Voltage Phase 'L2-N', Voltage Phase 'L3-N', Active Power, Reactive power, Frequency, Power Factor
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,249,250,243,6350,6352,6358,3999522,2450305,49.99,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,241,246,251,6350,6357,6343,5999795,2450247,50.04,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,243,245,243,6345,6357,6344,4000218,2450407,50.04,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,250,241,247,6357,6353,6341,3999585,2450442,49.95,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,249,247,241,6349,6344,6361,4000350,2450041,49.98,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,244,251,242,6357,6341,6343,4000122,2449851,50.02,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,241,247,244,6344,6359,6341,3999919,2449989,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,247,250,248,6361,6341,6352,4000495,2449667,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,249,249,250,6342,6344,6361,4000399,2449788,50,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,248,249,243,6354,6345,6359,4000088,2450343,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,241,241,250,6341,6351,6342,4000078,2450150,49.97,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,245,244,246,6349,6356,6360,3999755,2450353,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,241,246,248,6351,6359,6342,4000227,2450251,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,245,241,247,6343,6352,6344,3999889,2449811,50.04,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,243,246,250,6342,6353,6345,4000179,2450134,49.98,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,246,248,247,6357,6360,6350,4000380,2449597,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,251,250,246,6345,6346,6346,4000493,2449998,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,241,246,251,6347,6351,6358,3999612,2450454,50.04,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,243,245,243,6345,6344,6354,3999944,2450207,49.97,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,250,241,247,6352,6345,6342,4000285,2450312,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,249,247,241,6341,6356,6357,4000218,2450040,49.99,0.83
