Circuit breaker Open/Close Status, Disconnector Open/Close Status, Earth switch Open/Close Status, Protection system healthy (Trip circuit healthy), Control level - Local or remote, Protection tripped, Circuit breaker mechanical failure, Auxiliary power failure, Intertrip command send, Intertrip command receive, Current Line 'L1', Current Line 'L2', Current Line 'L3', Voltage Phase 'L1-N', Voltage Phase 'L2-N', Voltage Phase 'L3-N', Active Power, Reactive power, Frequency, Power Factor
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,305,311,38114,38118,38091,30000845,18501655,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,309,310,38096,38107,38113,30001666,18498567,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,314,315,38120,38102,38116,30001440,18499539,49.96,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,311,309,38110,38091,38111,29999532,18499615,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,315,314,38106,38109,38115,29999500,18500197,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,306,306,38093,38092,38108,29999408,18501856,50.03,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,315,309,38107,38109,38109,29998875,18498002,50.04,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,315,311,311,38115,38095,38092,30000945,18500985,50.02,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,315,306,309,38120,38119,38119,30001913,18500329,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,307,313,38109,38110,38104,29998549,18498411,50.03,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,315,310,311,38095,38118,38100,29998735,18499376,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,314,310,38107,38117,38119,29999388,18498089,50.05,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,314,314,38120,38117,38097,29998515,18501129,49.99,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,313,306,38109,38092,38105,30000469,18501576,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,308,315,38103,38116,38091,29998238,18498404,49.96,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,309,309,38097,38094,38119,30000016,18498070,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,309,308,38090,38093,38092,30001826,18499263,50,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,309,306,38104,38117,38099,29999381,18498504,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,305,313,38101,38108,38106,29998924,18499473,50,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,313,311,38090,38116,38103,29999538,18501495,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,307,310,306,38111,38102,38103,29999191,18501833,49.96,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,308,312,38114,38109,38092,30001147,18501385,50.02,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,312,312,38115,38090,38119,30000218,18500997,50.02,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,308,315,38096,38118,38097,29999735,18499226,49.98,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,311,315,38090,38110,38092,29999766,18500510,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,315,309,38099,38115,38114,30000899,18498478,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,307,311,38101,38092,38118,29999865,18498386,49.97,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,311,308,38095,38091,38103,30001484,18500076,49.97,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,313,312,38117,38097,38110,30000507,18501220,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,309,307,38117,38111,38093,30000735,18501964,49.96,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,312,310,38117,38098,38104,29999886,18498350,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,315,314,306,38117,38116,38096,30000166,18501896,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,311,310,38104,38098,38098,30001491,18498834,50.05,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,307,306,313,38110,38090,38097,30000150,18500942,50.02,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,311,310,38111,38098,38114,30000194,18500370,50.05,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,315,309,38115,38098,38111,30000496,18498146,49.99,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,312,310,38110,38104,38102,30000151,18500224,49.97,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,310,307,38104,38111,38095,30000940,18501359,50.03,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,309,313,38104,38092,38106,29999614,18498106,50.04,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,315,306,38115,38094,38118,29998037,18500647,50.01,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,309,305,38109,38097,38090,30001257,18499363,50.04,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,308,306,38113,38106,38108,29998021,18500877,50.01,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,315,315,306,38103,38110,38114,30000275,18501684,50.04,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,310,307,38099,38090,38092,29999218,18499484,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,308,306,38105,38095,38120,29999444,18498744,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,305,308,312,38120,38100,38107,29998368,18498248,49.96,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,306,308,38091,38090,38109,29999577,18501604,49.99,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,314,315,38094,38090,38095,29999150,18499728,50.04,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,314,310,38100,38120,38096,30000612,18499600,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,306,309,38096,38115,38109,29998412,18498153,50,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,308,312,38092,38110,38096,29999959,18500028,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,309,309,38116,38119,38116,30001388,18499496,49.95,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,308,315,38101,38094,38094,30001811,18498166,50.02,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,307,312,38112,38098,38107,30001153,18500099,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,305,315,38112,38116,38114,29999035,18499811,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,311,310,38100,38118,38108,29999390,18498922,49.98,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,306,315,311,38112,38100,38112,29999597,18499916,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,309,310,38103,38110,38093,29998108,18501405,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,308,307,315,38115,38119,38101,29999129,18501064,50,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,311,314,38115,38106,38101,29998979,18498099,50,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,309,308,38091,38112,38095,29998525,18498750,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,312,315,38092,38119,38090,30001119,18501143,50.02,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,308,315,38094,38109,38109,29999790,18500861,50,0.83
